"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,         226,      -6.074631178,      -2.358042116,      -4.249158351,     -0.5851254453,      -6.492791694
          0,           0,         227,      -6.025233667,      -2.359501094,      -4.163651762,     -0.5401439713,      -6.485538175
          0,           0,         228,      -5.911174862,      -2.362205572,      -3.931396926,     -0.4313765839,      -6.482351668
          0,           0,         229,      -6.050859303,      -2.363286273,      -4.152724116,     -0.5684016414,      -6.480352004
          0,           0,         230,      -6.075440947,      -2.364012685,      -4.230098571,     -0.5890340043,      -6.476731316
          0,           0,         231,      -6.023527973,      -2.365477837,      -4.137253718,     -0.5410038226,       -6.47445573
          0,           0,         232,      -6.071113066,      -2.366316126,      -4.227614675,     -0.5862121176,       -6.47251236
          0,           0,         233,      -6.080032939,      -2.367100013,      -4.254650491,     -0.5939048706,      -6.468950554
          0,           0,         234,      -6.025879649,      -2.368607429,      -4.110247251,     -0.5441323752,      -6.466757968
          0,           0,         235,      -6.072111151,      -2.369445882,       -4.22343985,     -0.5882451997,      -6.464846901
          0,           0,         236,      -6.080404108,      -2.370226484,       -4.24176767,     -0.5953354938,      -6.461308152
          0,           0,         237,      -6.024022771,      -2.371710104,      -4.079595917,     -0.5425501114,      -6.459143913
          0,           0,         238,      -6.072539649,      -2.372553638,      -4.201046399,     -0.5893086264,      -6.457246068
          0,           0,         239,      -6.081139327,      -2.373328845,      -4.220459308,     -0.5966629991,      -6.455352406
          0,           0,         240,      -6.081975084,      -2.374111692,      -4.217584621,     -0.5973110406,      -6.453465787
          0,           0,         241,      -6.082791151,       -2.37490251,      -4.218605081,     -0.5981127374,       -6.45158808
          0,           0,         242,      -6.083854198,      -2.375698608,      -4.223679034,     -0.5992251796,      -6.449721208
          0,           0,         243,      -6.084765551,      -2.376496871,      -4.229484945,     -0.6002464522,      -6.447867265
          0,           0,         244,      -6.085502027,      -2.377295024,      -4.234290411,     -0.6011247835,      -6.446027852
          0,           0,         245,      -6.086151516,      -2.378091786,      -4.237369405,     -0.6019171591,      -6.444204354
          0,           0,         246,      -6.086754488,      -2.378886614,       -4.23854185,     -0.6026474034,      -6.442397111
          0,           0,         247,      -6.087309597,      -2.379679432,      -4.238110528,      -0.603310769,      -6.440605957
          0,           0,         248,      -6.087812316,      -2.380470424,      -4.236732036,     -0.6039059378,      -6.438829722
          0,           0,         249,        -6.0882719,      -2.381259912,      -4.235158927,     -0.6044469697,      -6.437066857
          0,           0,         250,      -6.088709448,      -2.382048312,      -4.234014892,     -0.6049591026,      -6.435315342
          0,           0,         251,      -6.089150616,      -2.382836117,      -4.233678976,     -0.6054709092,      -6.433572903
          0,           0,         252,      -6.089619136,      -2.383623867,      -4.234259128,     -0.6060081078,       -6.43183365
          0,           0,         253,      -6.090131894,      -2.384412091,      -4.235620647,     -0.6065891062,      -6.430100615
          0,           0,         254,      -6.090695542,      -2.385201239,      -4.237448113,      -0.607221784,      -6.428372938
          0,           0,         255,      -6.091305149,      -2.385991609,      -4.239326641,      -0.607901981,      -6.426649964
          0,           0,         256,      -6.091945432,       -2.38678332,      -4.240829761,     -0.6086144655,      -6.424932056
          0,           0,         257,      -6.092594393,      -2.387576311,      -4.241600867,     -0.6093364762,      -6.423220511
          0,           0,         258,       -6.09322843,      -2.388370396,      -4.241414702,      -0.610042985,      -6.421517303
          0,           0,         259,      -6.093827516,      -2.389165329,       -4.24020745,     -0.6107122235,      -6.419824694
          0,           0,         260,      -6.094379135,      -2.389960885,      -4.238070648,     -0.6113300234,      -6.418145368
          0,           0,         261,      -6.094880128,      -2.390756911,      -4.235213746,     -0.6118920024,      -6.416481656
          0,           0,         262,      -6.095336274,      -2.391553368,      -4.231908309,     -0.6124033365,      -6.414835659
